Origination Date,DTI,FICO,Number of Loans,color,greenDTI,redDTI
2017-01-01,24,695,131,#DC5D59,#68AA9C,#F6A376
2017-01-01,24,700,139,#DC5D59,#68AA9C,#F6A376
2017-01-01,24,705,164,#DE6355,#68AA9C,#F6A376
2017-01-01,24,710,148,#DD6057,#68AA9C,#F6A376
2017-01-01,24,715,179,#DF6653,#68AA9C,#F6A376
2017-01-01,24,720,203,#E06C4F,#68AA9C,#F6A376
2017-01-01,24,725,225,#E16F4D,#68AA9C,#F6A376
2017-01-01,24,730,204,#E06C4F,#68AA9C,#F6A376
2017-01-01,24,735,176,#DF6653,#68AA9C,#F6A376
2017-01-01,24,740,213,#E06C4F,#68AA9C,#F6A376
2017-01-01,24,745,244,#E37548,#68AA9C,#F6A376
2017-01-01,24,750,232,#E2724B,#68AA9C,#F6A376
2017-01-01,24,755,300,#E5803F,#68AA9C,#F6A376
2017-01-01,24,760,321,#E6833D,#68AA9C,#F6A376
2017-01-01,24,765,332,#E6863B,#68AA9C,#F6A376
2017-01-01,24,770,365,#E88E34,#68AA9C,#F6A376
2017-01-01,24,775,403,#E89430,#68AA9C,#F6A376
2017-01-01,24,780,438,#E99C2B,#68AA9C,#F6A376
2017-01-01,24,785,497,#EAA728,#68AA9C,#F6A376
2017-01-01,24,790,613,#E9BF36,#68AA9C,#F6A376
2017-01-01,24,795,609,#E9BC33,#68AA9C,#F6A376
2017-01-01,24,800,709,#E6D151,#68AA9C,#F6A376
2017-01-01,24,805,518,#EAAC28,#68AA9C,#F6A376
2017-01-01,24,810,527,#EAAC28,#68AA9C,#F6A376
2017-01-01,24,815,294,#E57D42,#68AA9C,#F6A376
2017-01-01,24,820,93,#D9545F,#68AA9C,#F6A376
2017-01-01,24,825,27,#D44368,#68AA9C,#F6A376
2017-01-01,26,620,9,#D33F6A,#5FA498,#F69E70
2017-01-01,26,630,14,#D33F6A,#5FA498,#F69E70
2017-01-01,26,635,10,#D33F6A,#5FA498,#F69E70
2017-01-01,26,640,29,#D44368,#5FA498,#F69E70
2017-01-01,26,645,13,#D33F6A,#5FA498,#F69E70
2017-01-01,26,650,21,#D44368,#5FA498,#F69E70
2017-01-01,26,655,25,#D44368,#5FA498,#F69E70
2017-01-01,26,660,33,#D44368,#5FA498,#F69E70
2017-01-01,26,665,36,#D54766,#5FA498,#F69E70
2017-01-01,26,670,34,#D44368,#5FA498,#F69E70
2017-01-01,26,675,29,#D44368,#5FA498,#F69E70
2017-01-01,26,680,41,#D54766,#5FA498,#F69E70
2017-01-01,26,685,57,#D64A65,#5FA498,#F69E70
2017-01-01,26,690,50,#D64A65,#5FA498,#F69E70
2017-01-01,26,695,49,#D64A65,#5FA498,#F69E70
2017-01-01,26,700,65,#D74D63,#5FA498,#F69E70
2017-01-01,26,705,50,#D64A65,#5FA498,#F69E70
2017-01-01,26,710,60,#D64A65,#5FA498,#F69E70
2017-01-01,26,715,76,#D85161,#5FA498,#F69E70
2017-01-01,26,720,87,#D85161,#5FA498,#F69E70
2017-01-01,26,725,76,#D85161,#5FA498,#F69E70
2017-01-01,26,730,83,#D85161,#5FA498,#F69E70
2017-01-01,26,735,89,#D85161,#5FA498,#F69E70
2017-01-01,26,740,82,#D85161,#5FA498,#F69E70
2017-01-01,26,745,83,#D85161,#5FA498,#F69E70
2017-01-01,26,750,95,#D9545F,#5FA498,#F69E70
2017-01-01,26,755,114,#DA575D,#5FA498,#F69E70
2017-01-01,26,760,130,#DB5A5B,#5FA498,#F69E70
2017-01-01,26,765,124,#DB5A5B,#5FA498,#F69E70
2017-01-01,26,770,129,#DB5A5B,#5FA498,#F69E70
2017-01-01,26,775,163,#DE6355,#5FA498,#F69E70
2017-01-01,26,780,143,#DC5D59,#5FA498,#F69E70
2017-01-01,26,785,171,#DE6355,#5FA498,#F69E70
2017-01-01,26,790,194,#E06951,#5FA498,#F69E70
2017-01-01,26,795,206,#E06C4F,#5FA498,#F69E70
2017-01-01,26,800,244,#E37548,#5FA498,#F69E70
2017-01-01,26,805,171,#DE6355,#5FA498,#F69E70
2017-01-01,26,810,168,#DE6355,#5FA498,#F69E70
2017-01-01,26,815,99,#D9545F,#5FA498,#F69E70
2017-01-01,26,820,29,#D44368,#5FA498,#F69E70
2017-01-01,26,825,10,#D33F6A,#5FA498,#F69E70
2017-01-01,28,620,25,#D44368,#559E93,#F5986A
2017-01-01,28,625,44,#D54766,#559E93,#F5986A
2017-01-01,28,630,43,#D54766,#559E93,#F5986A
2017-01-01,28,635,40,#D54766,#559E93,#F5986A
2017-01-01,28,640,49,#D64A65,#559E93,#F5986A
2017-01-01,28,645,60,#D64A65,#559E93,#F5986A
2017-01-01,28,650,64,#D74D63,#559E93,#F5986A
2017-01-01,28,655,89,#D85161,#559E93,#F5986A
2017-01-01,28,660,89,#D85161,#559E93,#F5986A
2017-01-01,28,665,106,#DA575D,#559E93,#F5986A
